Title,Format,Hook,Status,Priority,Notes
"Text your mom before she sends ?","5-slide carousel","The most dangerous text on earth is just a question mark",Designed,Critical,"Carousel at carousels/question-mark-danger/ — chat bubble + lock screen aesthetic"
"The fake mental math of reply guilt","6-slide carousel","You are not busy, you are emotionally buffering",Designed,High,"Carousel at carousels/reply-guilt-math/ — stats card + progress bar aesthetic"
"Group chat shame spiral","5-slide carousel","Me opening the family group chat after 4 days of silence",Research,High,"Brief written — validate format before scripting. See briefs/group-chat-shame-brief.md"
"Your mom absolutely noticed the like but not the reply","Talking head","You liked the photo but did not answer the text",Script Ready,High,"Strong guilt-humor angle"
"How to stop treating replies like taxes","Explainer","Tiny rule that makes texting back easier",Idea,Medium,"Good bridge from humor into product"
"Day 4 of pretending I did not see her text","4-slide carousel","POV: it has been 96 hours and the guilt is now load-bearing",Idea,High,"Missed reply guilt — escalating timestamps on a single chat thread. Suggested post: 2026-04-21"
"Mom texts that have no business being 11 paragraphs","Talking head","She asked one question. She wrote a novel. I owe her a thesis.",Idea,High,"Mom texting patterns — read screenshots aloud, react. Suggested post: 2026-04-23"
"The family group chat is a horror movie and I am the final girl","5-slide carousel","37 unread. I will simply never open the app again.",Idea,High,"Group chat avoidance — escalating notification badges, ends on TYM as the safe exit. Suggested post: 2026-04-25"
"Mom uses three dots and I lose a year of my life","6-slide carousel","She is typing. She has been typing. For nine minutes.",Idea,Medium,"Mom texting patterns — typing-indicator anxiety, very visual. Suggested post: 2026-04-28"
"Streak: 1 day. Mom: visibly emotional.","Talking head","I texted her once on time and she cried. That is the whole product.",Idea,High,"Wholesome accountability — soft sell for TYM streaks. Suggested post: 2026-04-30"
